product_name,product_feature,target_consumer,release_date,advertising,price,category_level_1,category_level_2,category_level_3
덴마크 하이그릭요거트 400g,"프리미엄 제품, 건강 식품, 고단백질, 만족도 높음",유당불내증,2025년 2월,2025년 6-8월 광고,4700,우유류,발효유,호상-중대용량
동원맛참 고소참기름 135g,"간편함, 고단백질, 고소한맛, 가성비 좋음, 만족도 높음",2인 가구 이상,2023년 8월,2024년 5-12월 연예인광고,2500,참치,참치캔,라이트스탠다드참치
동원맛참 고소참기름 90g,"간편함, 고단백질, 고소한맛, 가성비 좋음, 만족도 높음",1인 가구 이상,2023년 8월,2024년 5-12월 연예인광고,1800,참치,참치캔,라이트스탠다드참치
동원맛참 매콤참기름 135g,"간편함, 고단백질, 매콤한맛, 가성비 좋음, 만족도 높음",2인 가구 이상,2023년 8월,2024년 5-12월 연예인광고,2500,참치,참치캔,라이트스탠다드참치
동원맛참 매콤참기름 90g,"간편함, 고단백질, 매콤한맛, 가성비 좋음, 만족도 높음",1인 가구 이상,2023년 8월,2024년 5-12월 연예인광고,1800,참치,참치캔,라이트스탠다드참치
동원참치액 순 500g,"건강 식품, 시원하고 깔끔한 맛, 만족도 높음",1인 가구 이상,2024년 4월,2024년 9-12월 SNS 바이럴,5980,조미소스,조미료,액상조미료
동원참치액 순 900g,"건강 식품, 시원하고 깔끔한 맛, 만족도 높음",3인 가구 이상,2024년 4월,2024년 9-12월 SNS 바이럴,9980,조미소스,조미료,액상조미료
동원참치액 진 500g,"건강 식품, 풍부한 감칠맛, 만족도 높음",1인 가구 이상,2024년 4월,2024년 9-12월 SNS 바이럴,5980,조미소스,조미료,액상조미료
동원참치액 진 900g,"건강 식품, 풍부한 감칠맛, 만족도 높음",3인 가구 이상,2024년 4월,2024년 9-12월 SNS 바이럴,9980,조미소스,조미료,액상조미료
리챔 오믈레햄 200g,"건강 식품, 간편함, 고소한맛",자녀 1명 이상 존재,2025년 5월,광고 X,4800,축산캔,고급축산캔,가미축산캔
리챔 오믈레햄 340g,"건강 식품, 간편함, 고소한맛",자녀 2명 이상 존재,2025년 5월,광고 X,8190,축산캔,고급축산캔,가미축산캔
소화가 잘되는 우유로 만든 바닐라라떼 250mL,"건강 식품, 간편함, 단맛",유당불내증,2025년 2월,2025년 2-6월 SNS 바이럴,1500,우유류,커피,커피-CUP
소화가 잘되는 우유로 만든 카페라떼 250mL,"건강 식품, 간편함, 고소한맛",유당불내증,2025년 2월,2025년 2-6월 SNS 바이럴,1500,우유류,커피,커피-CUP
프리미엄 동원참치액 500g,"프리미엄 제품, 건강 식품, 풍부한 감칠맛, 만족도 높음",1인 가구 이상,2024년 4월,2024년 9-12월 SNS 바이럴,11480,조미소스,조미료,액상조미료
프리미엄 동원참치액 900g,"프리미엄 제품, 건강 식품, 풍부한 감칠맛, 만족도 높음",3인 가구 이상,2024년 4월,2024년 9-12월 SNS 바이럴,17980,조미소스,조미료,액상조미료
