page_content,source,title,category,chunk_id,article
"소득세법

소득세법

[시행 2024. 1. 1.] [법률 제19933호, 2023. 12. 31., 일부개정]

기획재정부(소득세제과(사업소득, 기타소득)) 044-215-421",tax_docs/with_markdown-sample.docx,소득세법: 개인 및 법인의 소득에 따른 적정 과세 체계 구축,납세의무,chunk_000,1
"1. 구성원 간 이익의 분배비율이 정하여져 있고 해당 구성원별로 이익의 분배비율이 확인되는 경우

2. 구성원 간 이익의 분배비율이 정하여져 있지 아니하나 사실상 구성원별로 이익이",tax_docs/with_markdown-sample.docx,"공동체 내 납세 의무 범위: 공동사업자별 소득과세, 상속인 및 증여자에 의한 양도소득 공동납세, 공동",납세의무,chunk_001,119
"⑤ 공동으로 소유한 자산에 대한 양도소득금액을 계산하는 경우에는 해당 자산을 공동으로 소유하는 각 거주자가 납세의무를 진다.<신설 2017. 12. 19., 2020. 12. 29",tax_docs/with_markdown-sample.docx,"소득세 납세의무 범위: 거주자는 종합소득, 퇴직소득, 양도소득 등 다양한 소득에 대해 납세 의무를 지며",납세의무,chunk_002,2
"3. 「자본시장과 금융투자업에 관한 법률」 제251조제1항에 따른 집합투자업겸영보험회사의 특별계정

③ 비거주자의 소득은 제119조에 따라 구분한다.

[전문개정 2009. 12.",tax_docs/with_markdown-sample.docx,"소득세 구분 및 납세지 규정 소득 구분: 종합소득이자, 배당, 사업, 근로, 연금,",납세의무,chunk_003,251
"③ 납세지가 불분명한 경우에는 대통령령으로 정하는 바에 따라 납세지를 결정한다.

[전문개정 2009. 12. 31.]



제7조(원천징수 등의 경우의 납세지) ① 원천징수하는 ",tax_docs/with_markdown-sample.docx,"소득세 납세지 결정 규정: 거주자비거주자별 소재지 기준에 따라 결정, 예외 시 대통령령 적용",납세의무,chunk_004,7
"④ 제1항이나 제2항에 따른 신고가 없는 경우의 거주자 또는 비거주자의 소득세 납세지는 제6조와 제7조에 따른다.

⑤ 국내에 주소가 없는 공무원 등 대통령령으로 정하는 사람의 소",tax_docs/with_markdown-sample.docx,"소득세 납세지 지정 및 변경 규정: 거주자의 사업장 소재지 외 대통령령에 따라 납세지 지정 가능, 변경 시 신고 의무, 관할",납세의무,chunk_005,6
"1. 「공익신탁법」에 따른 공익신탁의 이익

2. 사업소득 중 다음 각 목의 어느 하나에 해당하는 소득

가. 논ㆍ밭을 작물 생산에 이용하게 함으로써 발생하는 소득

나. 1개의 ",tax_docs/with_markdown-sample.docx,"소득세 과세 대상 소득 범위: 농업소득, 주택임대소득제한 조건, 전통주 제조소득, 조림소득, 작물재배",세율계산,chunk_006,99
"바. 「국민연금법」에 따라 받는 반환일시금(사망으로 받는 것만 해당한다) 및 사망일시금

사. 「공무원연금법」, 「공무원 재해보상법」, 「군인연금법」, 「군인 재해보상법」, 「사립",tax_docs/with_markdown-sample.docx,"소득세법 핵심 제목: 소득 종류 및 과세 배제 공적연금, 공무상 급여, 해외근무 급여, 국가유공자",근로소득,chunk_007,28
서. 「교육기본법」 제28조제1항에 따라 받는 장학금 중 대학생이 근로를 대가로 지급받는 장학금(「고등교육법」 제2조제1호부터 제4호까지의 규정에 따른 대학에 재학하는 대학생에 한,tax_docs/with_markdown-sample.docx,"소득세 과세 대상: 장학금, 직무발명보상금, 공적연금, 기타소득보훈급여금, 상금 등",근로소득,chunk_008,28
"마. 「국군포로의 송환 및 대우 등에 관한 법률」에 따라 국군포로가 받는 위로지원금과 그 밖의 금품

바. 「문화재보호법」에 따라 국가지정문화재로 지정된 서화ㆍ골동품의 양도로 발생",tax_docs/with_markdown-sample.docx,"소득세 비과세 대상: 공익신탁 이익, 농업임업 소득 제한, 주택임대소득특정 조건, 전통주의",사업소득,chunk_009,21
